Date,Bullish,Neutral,Bearish,BullBearSpread
1989-10-13,28.0000,52.0000,20.0000,8.0000
1989-10-20,39.0000,28.0000,33.0000,6.0000
1989-10-27,36.0000,33.0000,31.0000,5.0000
1989-11-03,37.0000,31.0000,32.0000,5.0000
1989-11-10,27.0000,37.0000,36.0000,-9.0000
1989-11-17,24.0000,28.0000,48.0000,-24.0000
1989-11-22,27.0000,40.0000,33.0000,-6.0000
1989-12-01,28.0000,40.0000,32.0000,-4.0000
1989-12-08,31.0000,41.0000,28.0000,3.0000
1989-12-15,42.0000,30.0000,28.0000,14.0000
1989-12-22,36.0000,32.0000,32.0000,4.0000
1989-12-29,35.0000,31.0000,34.0000,1.0000
1990-01-05,40.0000,30.0000,30.0000,10.0000
1990-01-12,45.0000,38.0000,17.0000,28.0000
1990-01-19,31.0000,49.0000,20.0000,11.0000
1990-01-26,24.0000,38.0000,38.0000,-14.0000
1990-02-02,15.0000,37.0000,48.0000,-33.0000
1990-02-09,19.0000,30.0000,51.0000,-32.0000
1990-02-16,23.0000,43.0000,34.0000,-11.0000
1990-02-23,24.0000,38.0000,38.0000,-14.0000
1990-03-02,21.0000,37.0000,42.0000,-21.0000
1990-03-09,22.0000,42.0000,36.0000,-14.0000
1990-03-16,25.0000,35.0000,40.0000,-15.0000
1990-03-23,37.0000,39.0000,24.0000,13.0000
1990-03-30,34.0000,35.0000,31.0000,3.0000
1990-04-06,38.0000,37.0000,25.0000,13.0000
1990-04-12,27.0000,56.0000,17.0000,10.0000
1990-04-20,34.0000,43.0000,23.0000,11.0000
1990-04-27,28.0000,35.0000,37.0000,-9.0000
1990-05-04,20.0000,35.0000,45.0000,-25.0000
1990-05-11,28.0000,38.0000,34.0000,-6.0000
1990-05-18,37.0000,35.0000,28.0000,9.0000
1990-05-25,39.0000,32.0000,29.0000,10.0000
1990-06-01,37.0000,28.0000,35.0000,2.0000
1990-06-08,35.0000,35.0000,30.0000,5.0000
1990-06-15,43.0000,32.0000,25.0000,18.0000
1990-06-22,34.0000,32.0000,34.0000,0.0000
1990-06-29,31.0000,31.0000,38.0000,-7.0000
1990-07-06,28.0000,34.0000,38.0000,-10.0000
1990-07-13,40.0000,30.0000,30.0000,10.0000
1990-07-20,40.0000,30.0000,30.0000,10.0000
1990-07-27,52.0000,24.0000,24.0000,28.0000
1990-08-03,26.0000,28.0000,46.0000,-20.0000
1990-08-10,25.0000,21.0000,54.0000,-29.0000
1990-08-17,18.0000,23.0000,59.0000,-41.0000
1990-08-24,25.0000,24.0000,51.0000,-26.0000
1990-08-31,23.0000,16.0000,61.0000,-38.0000
1990-09-07,33.0000,18.0000,49.0000,-16.0000
1990-09-14,16.0000,33.0000,51.0000,-35.0000
1990-09-21,13.0000,31.0000,56.0000,-43.0000
1990-09-28,26.0000,20.0000,54.0000,-28.0000
1990-10-05,15.0000,26.0000,59.0000,-44.0000
1990-10-12,21.0000,27.0000,52.0000,-31.0000
1990-10-19,13.0000,20.0000,67.0000,-54.0000
1990-10-26,23.0000,19.0000,58.0000,-35.0000
1990-11-02,20.0000,36.0000,44.0000,-24.0000
1990-11-09,20.0000,32.0000,48.0000,-28.0000
1990-11-16,12.0000,33.0000,55.0000,-43.0000
1990-11-21,16.0000,37.0000,47.0000,-31.0000
1990-11-30,22.0000,33.0000,45.0000,-23.0000
1990-12-07,26.0000,33.0000,41.0000,-15.0000
1990-12-14,31.0000,31.0000,38.0000,-7.0000
1990-12-21,16.0000,34.0000,50.0000,-34.0000
1990-12-28,30.0000,30.0000,40.0000,-10.0000
1991-01-04,31.0000,39.0000,30.0000,1.0000
1991-01-11,22.0000,30.0000,48.0000,-26.0000
1991-01-18,22.0000,27.0000,51.0000,-29.0000
1991-01-25,25.0000,25.0000,50.0000,-25.0000
1991-02-01,29.0000,29.0000,42.0000,-13.0000
1991-02-08,36.0000,28.0000,36.0000,0.0000
1991-02-15,46.0000,30.0000,24.0000,22.0000
1991-02-22,57.0000,20.0000,23.0000,34.0000
1991-03-01,50.0000,18.0000,32.0000,18.0000
1991-03-08,50.0000,21.0000,29.0000,21.0000
